Month,Borough,Equipment Type,Equipment Code,Total Outages,Scheduled Outages,Unscheduled Outages,Entrapments,Time Since Major Improvement,AM Peak Availability,AM Peak Hours Available,AM Peak Total Hours,PM Peak Availability,PM Peak Hours Available,PM Peak Total Hours,24-Hour Availability,24-Hour Hours Available,24-Hour Total Hours,Station Name,Station MRN,Station Complex Name,Station Complex MRN
05/01/2025,Manhattan,Elevator,EL600,2,2,0,0,116,1,124,124,1,124,124,0.98991935483871,736.5,744,34ST-HUDSONYARDS-FLS-7,471,34 St-Hudson Yards - Station,471
05/01/2025,Queens,Elevator,EL483,6,3,3,0,4,0.968145161290323,120.05,124,0.924731182795699,114.66666666666666,124,0.961066308243728,715.0333333333333,744,WOODHAVENBLVD-JAM-J/Z,83,Woodhaven Blvd - Station,83
05/01/2025,Brooklyn,Elevator,EL739,1,1,0,0,70,1,124,124,1,124,124,0.993951612903226,739.5,744,NEWUTRECHTAV-SEA-N,73,New Utrecht Av (N)/62 St (D),615
05/01/2025,Brooklyn,Elevator,EL304,0,0,0,0,253,,0,0,,0,0,,0,0,ATLANTICAV-BARCLAYSCTR-EPK-2/3/4/5,338,"Atlantic Av (B,Q,2,3,4,5)/Pacific St (D,N,R)",617
05/01/2025,Manhattan,Elevator,EL18X,0,0,0,0,N/A,0.754704301075269,93.58333333333334,124,0.927150537634409,114.96666666666667,124,0.829793906810036,617.3666666666667,744,CORTLANDTST-BWY-R,21,"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt St (R, W)",624
05/01/2025,Queens,Elevator,EL408,6,1,5,0,437,0.980913978494624,121.63333333333333,124,0.98991935483871,122.75000000000001,124,0.972625448028674,723.6333333333333,744,JAMAICAVANWYCK-QBL-E,280,Jamaica Van Wyck - Station,280
05/01/2025,Brooklyn,Elevator,EL784,1,1,0,0,18,1,124,124,1,124,124,0.996863799283154,741.6666666666667,744,7AV-6AV-F/G,240,7 Av - Station,240
05/01/2025,Queens,Elevator,EL406,1,1,0,0,426,1,124,124,1,124,124,0.993145161290323,738.9000000000001,744,21ST-QUEENSBRIDGE-63S-F,221,21 St-Queensbridge - Station,221
05/01/2025,Queens,Elevator,EL427,2,1,1,0,219,0.994220430107527,123.28333333333335,124,1,124,124,0.992316308243728,738.2833333333333,744,JUNCTIONBLVD-FLS-7,451,Junction Blvd - Station,451
05/01/2025,Manhattan,Elevator,EL105,3,2,1,0,760,0.963037634408602,119.41666666666667,124,1,124,124,0.98456541218638,732.5166666666667,744,191ST-BWY7-1,300,191 St - Station,300
